#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,_field,_measurement,code,owner
,,0,2023-08-13T16:31:45Z,277,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T17:31:44Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T18:31:45Z,248,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T19:31:45Z,250,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T20:31:44Z,250,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T21:31:45Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T22:31:46Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T00:31:45Z,283,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T01:31:46Z,300,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T03:31:45Z,333,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T04:31:46Z,320,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T06:31:47Z,291,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T07:31:47Z,277,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T09:31:47Z,248,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T10:31:47Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T11:31:47Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T12:31:47Z,248,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T13:31:47Z,248,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T15:31:47Z,248,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T16:31:47Z,248,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T18:31:48Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T19:31:48Z,283,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T20:31:48Z,283,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T21:32:05Z,291,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T22:32:05Z,300,value,co_8h,BBMLA,SMBrno
,,0,2023-08-14T23:32:05Z,316,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T00:32:05Z,333,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T01:32:05Z,330,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T03:32:05Z,283,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T04:32:05Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T06:32:06Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T07:32:06Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T08:32:05Z,218,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T09:32:06Z,216,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T10:32:06Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T11:32:05Z,218,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T12:32:06Z,204,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T14:32:05Z,189,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T15:32:06Z,160,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T16:32:06Z,150,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T17:32:05Z,150,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T18:32:06Z,133,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T19:32:06Z,150,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T20:32:05Z,166,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T21:32:06Z,183,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T22:32:07Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-15T23:32:06Z,250,value,co_8h,BBMLA,SMBrno
